dataset,site,recording,split,scene_id,batch_id,timestamp,frame_index,camera_id,source_detection_id,local_track_id,gt_global_id,gt_world_x,gt_world_y,has_gt
synthetic,smoke_pair,smoke_pair,train,smoke_pair,smoke_001,0.000,0,CA,smoke_pair|smoke_001|CA|1|0,1,,,,0
synthetic,smoke_pair,smoke_pair,train,smoke_pair,smoke_001,0.000,0,CB,smoke_pair|smoke_001|CB|1|0,1,,,,0
synthetic,smoke_pair,smoke_pair,train,smoke_pair,smoke_001,0.000,0,CA,smoke_pair|smoke_001|CA|2|0,2,,,,0
synthetic,smoke_pair,smoke_pair,train,smoke_pair,smoke_001,0.000,0,CB,smoke_pair|smoke_001|CB|2|0,2,,,,0
synthetic,smoke_pair,smoke_pair,train,smoke_pair,smoke_001,0.000,0,CA,smoke_pair|smoke_001|CA|3|0,3,,,,0
synthetic,smoke_pair,smoke_pair,train,smoke_pair,smoke_001,0.000,0,CB,smoke_pair|smoke_001|CB|3|0,3,,,,0
synthetic,smoke_pair,smoke_pair,train,smoke_pair,smoke_001,0.000,0,CA,smoke_pair|smoke_001|CA|4|0,4,,,,0
synthetic,smoke_pair,smoke_pair,train,smoke_pair,smoke_001,0.000,0,CB,smoke_pair|smoke_001|CB|4|0,4,,,,0
synthetic,smoke_pair,smoke_pair,train,smoke_pair,smoke_001,0.000,0,CA,smoke_pair|smoke_001|CA|5|0,5,,,,0
synthetic,smoke_pair,smoke_pair,train,smoke_pair,smoke_001,0.000,0,CB,smoke_pair|smoke_001|CB|5|0,5,,,,0
synthetic,smoke_pair,smoke_pair,train,smoke_pair,smoke_001,0.000,0,CA,smoke_pair|smoke_001|CA|6|0,6,,,,0
synthetic,smoke_pair,smoke_pair,train,smoke_pair,smoke_001,0.000,0,CB,smoke_pair|smoke_001|CB|6|0,6,,,,0
synthetic,smoke_pair,smoke_pair,train,smoke_pair,smoke_001,0.000,0,CA,smoke_pair|smoke_001|CA|7|0,7,,,,0
synthetic,smoke_pair,smoke_pair,train,smoke_pair,smoke_001,0.000,0,CB,smoke_pair|smoke_001|CB|7|0,7,,,,0
synthetic,smoke_pair,smoke_pair,train,smoke_pair,smoke_001,0.000,0,CA,smoke_pair|smoke_001|CA|8|0,8,,,,0
synthetic,smoke_pair,smoke_pair,train,smoke_pair,smoke_001,0.000,0,CB,smoke_pair|smoke_001|CB|8|0,8,,,,0
synthetic,smoke_pair,smoke_pair,train,smoke_pair,smoke_001,0.100,1,CA,smoke_pair|smoke_001|CA|1|1,1,,,,0
synthetic,smoke_pair,smoke_pair,train,smoke_pair,smoke_001,0.100,1,CB,smoke_pair|smoke_001|CB|1|1,1,,,,0
synthetic,smoke_pair,smoke_pair,train,smoke_pair,smoke_001,0.100,1,CA,smoke_pair|smoke_001|CA|2|1,2,,,,0
synthetic,smoke_pair,smoke_pair,train,smoke_pair,smoke_001,0.100,1,CB,smoke_pair|smoke_001|CB|2|1,2,,,,0
synthetic,smoke_pair,smoke_pair,train,smoke_pair,smoke_001,0.100,1,CA,smoke_pair|smoke_001|CA|3|1,3,,,,0
synthetic,smoke_pair,smoke_pair,train,smoke_pair,smoke_001,0.100,1,CB,smoke_pair|smoke_001|CB|3|1,3,,,,0
synthetic,smoke_pair,smoke_pair,train,smoke_pair,smoke_001,0.100,1,CA,smoke_pair|smoke_001|CA|4|1,4,,,,0
synthetic,smoke_pair,smoke_pair,train,smoke_pair,smoke_001,0.100,1,CB,smoke_pair|smoke_001|CB|4|1,4,,,,0
synthetic,smoke_pair,smoke_pair,train,smoke_pair,smoke_001,0.100,1,CA,smoke_pair|smoke_001|CA|5|1,5,,,,0
synthetic,smoke_pair,smoke_pair,train,smoke_pair,smoke_001,0.100,1,CB,smoke_pair|smoke_001|CB|5|1,5,,,,0
synthetic,smoke_pair,smoke_pair,train,smoke_pair,smoke_001,0.100,1,CA,smoke_pair|smoke_001|CA|6|1,6,,,,0
synthetic,smoke_pair,smoke_pair,train,smoke_pair,smoke_001,0.100,1,CB,smoke_pair|smoke_001|CB|6|1,6,,,,0
synthetic,smoke_pair,smoke_pair,train,smoke_pair,smoke_001,0.100,1,CA,smoke_pair|smoke_001|CA|7|1,7,,,,0
synthetic,smoke_pair,smoke_pair,train,smoke_pair,smoke_001,0.100,1,CB,smoke_pair|smoke_001|CB|7|1,7,,,,0
synthetic,smoke_pair,smoke_pair,train,smoke_pair,smoke_001,0.100,1,CA,smoke_pair|smoke_001|CA|8|1,8,,,,0
synthetic,smoke_pair,smoke_pair,train,smoke_pair,smoke_001,0.100,1,CB,smoke_pair|smoke_001|CB|8|1,8,,,,0
synthetic,smoke_pair,smoke_pair,train,smoke_pair,smoke_001,0.200,2,CA,smoke_pair|smoke_001|CA|1|2,1,,,,0
synthetic,smoke_pair,smoke_pair,train,smoke_pair,smoke_001,0.200,2,CB,smoke_pair|smoke_001|CB|1|2,1,,,,0
synthetic,smoke_pair,smoke_pair,train,smoke_pair,smoke_001,0.200,2,CA,smoke_pair|smoke_001|CA|2|2,2,,,,0
synthetic,smoke_pair,smoke_pair,train,smoke_pair,smoke_001,0.200,2,CB,smoke_pair|smoke_001|CB|2|2,2,,,,0
synthetic,smoke_pair,smoke_pair,train,smoke_pair,smoke_001,0.200,2,CA,smoke_pair|smoke_001|CA|3|2,3,,,,0
synthetic,smoke_pair,smoke_pair,train,smoke_pair,smoke_001,0.200,2,CB,smoke_pair|smoke_001|CB|3|2,3,,,,0
synthetic,smoke_pair,smoke_pair,train,smoke_pair,smoke_001,0.200,2,CA,smoke_pair|smoke_001|CA|4|2,4,,,,0
synthetic,smoke_pair,smoke_pair,train,smoke_pair,smoke_001,0.200,2,CB,smoke_pair|smoke_001|CB|4|2,4,,,,0
synthetic,smoke_pair,smoke_pair,train,smoke_pair,smoke_001,0.200,2,CA,smoke_pair|smoke_001|CA|5|2,5,,,,0
synthetic,smoke_pair,smoke_pair,train,smoke_pair,smoke_001,0.200,2,CB,smoke_pair|smoke_001|CB|5|2,5,,,,0
synthetic,smoke_pair,smoke_pair,train,smoke_pair,smoke_001,0.200,2,CA,smoke_pair|smoke_001|CA|6|2,6,,,,0
synthetic,smoke_pair,smoke_pair,train,smoke_pair,smoke_001,0.200,2,CB,smoke_pair|smoke_001|CB|6|2,6,,,,0
synthetic,smoke_pair,smoke_pair,train,smoke_pair,smoke_001,0.200,2,CA,smoke_pair|smoke_001|CA|7|2,7,,,,0
synthetic,smoke_pair,smoke_pair,train,smoke_pair,smoke_001,0.200,2,CB,smoke_pair|smoke_001|CB|7|2,7,,,,0
synthetic,smoke_pair,smoke_pair,train,smoke_pair,smoke_001,0.200,2,CA,smoke_pair|smoke_001|CA|8|2,8,,,,0
synthetic,smoke_pair,smoke_pair,train,smoke_pair,smoke_001,0.200,2,CB,smoke_pair|smoke_001|CB|8|2,8,,,,0
synthetic,smoke_pair,smoke_pair,train,smoke_pair,smoke_001,0.300,3,CA,smoke_pair|smoke_001|CA|1|3,1,,,,0
synthetic,smoke_pair,smoke_pair,train,smoke_pair,smoke_001,0.300,3,CB,smoke_pair|smoke_001|CB|1|3,1,,,,0
synthetic,smoke_pair,smoke_pair,train,smoke_pair,smoke_001,0.300,3,CA,smoke_pair|smoke_001|CA|2|3,2,,,,0
